Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
Channel Islands National Park,1,2024,4,99,2024-04-09,0.09001584463072891,-0.07951375086373119,0.5623969189619377,21.133371553314557,0.03,-119.97275608023315,33.99868572814196
Chino Hills,1,2024,4,99,2024-04-09,0.24981769774979354,-0.24962075064465808,1.6902975727457692,29.813228286996324,0.03,-117.77738835498087,33.9516771794212
Carrizo Plain National Monument,1,2015,4,97,2015-04-08,0.1605913554677434,-0.207867218780667,0.7803337836140322,26.17530699569149,33.1,-119.8411779082443,35.14682151679447
Carrizo Plain National Monument,1,2015,4,113,2015-04-24,0.13707154579598782,-0.19010623899965473,0.6150040887526116,37.38277022150236,58.59,-119.8411779082443,35.14682151679447
Carrizo Plain National Monument,1,2016,4,100,2016-04-10,0.1697126616931785,-0.1960170601646772,0.8437211119192658,23.815605596585872,73.31,-119.8411779082443,35.14682151679447
Carrizo Plain National Monument,1,2016,4,116,2016-04-26,0.13497874715294939,-0.17113919501530905,0.768255394956596,30.803885408137205,15.22,-119.8411779082443,35.14682151679447
Carrizo Plain National Monument,1,2017,4,102,2017-04-13,0.2775492977818767,-0.2887503869094738,1.460189602864496,24.537693609066636,65.66,-119.8411779082443,35.14682151679447
Carrizo Plain National Monument,1,2017,4,118,2017-04-29,0.21125131015997137,-0.2485515559265311,1.046594821259519,36.2505235238248,0.99,-119.8411779082443,35.14682151679447
Carrizo Plain National Monument,1,2018,4,105,2018-04-16,0.18098578936048984,-0.20183339292355276,1.2682836838574343,28.74439785052251,51.2,-119.8411779082443,35.14682151679447
Carrizo Plain National Monument,1,2019,4,92,2019-04-03,0.276744036463574,-0.27593732079823746,1.388249332755076,18.322863597577914,72.94,-119.8411779082443,35.14682151679447
Carrizo Plain National Monument,1,2019,4,108,2019-04-19,0.23472637348337244,-0.25439603511938913,1.3431385381123946,40.155471303397505,22.97,-119.8411779082443,35.14682151679447
Carrizo Plain National Monument,1,2020,4,111,2020-04-21,0.2305198122064774,-0.2329048128314365,1.6992490927197106,28.783553821887626,32.81,-119.8411779082443,35.14682151679447
