Site,year,NDVI,NDWI,cloud_cover,longitude,latitude,bloom,month,day_of_year,day_of_month,is_spring,is_summer,is_fall,is_winter
Non_Bloom_3,2024,0.0677067263613498,-0.1096857090076839,2.64,-115.1219003096022,36.01894604348756,0,5,134,13,1,0,0,0
Non_Bloom_4,2024,0.0615953325720903,-0.0944594601408031,2.64,-115.11787471234813,36.19695663260334,0,5,134,13,1,0,0,0
Non_Bloom_2,2024,0.0819541853367817,-0.1234726693761052,0.21,-115.25971154704328,36.19595474635144,0,5,150,29,1,0,0,0
Non_Bloom_3,2024,0.0682126565685794,-0.1108713809310141,0.21,-115.1219003096022,36.01894604348756,0,5,150,29,1,0,0,0
Non_Bloom_4,2024,0.0622195390629332,-0.0960292429598886,0.21,-115.11787471234813,36.19695663260334,0,5,150,29,1,0,0,0
Non_Bloom_2,2024,0.0817356042603349,-0.1233588216910755,0.0,-115.25971154704328,36.19595474635144,0,6,166,14,0,1,0,0
Non_Bloom_3,2024,0.068590808652451,-0.1114239137665624,0.0,-115.1219003096022,36.01894604348756,0,6,166,14,0,1,0,0
Non_Bloom_4,2024,0.062520240563489,-0.096502274365973,0.0,-115.11787471234813,36.19695663260334,0,6,166,14,0,1,0,0
Non_Bloom_2,2024,0.0786915457452028,-0.1209542572698515,0.64,-115.25971154704328,36.19595474635144,0,6,182,30,0,1,0,0
Non_Bloom_3,2024,0.0660280478160787,-0.1089683592245886,0.64,-115.1219003096022,36.01894604348756,0,6,182,30,0,1,0,0
Non_Bloom_4,2024,0.0590703190812051,-0.0933999698450375,0.64,-115.11787471234813,36.19695663260334,0,6,182,30,0,1,0,0
Non_Bloom_2,2024,0.0815974802432232,-0.1222973566373285,8.8,-115.25971154704328,36.19595474635144,0,7,198,16,0,1,0,0
Non_Bloom_3,2024,0.0650118305477994,-0.104145715420249,8.8,-115.1219003096022,36.01894604348756,0,7,198,16,0,1,0,0
Non_Bloom_4,2024,0.0632618606215109,-0.0963666945995822,8.8,-115.11787471234813,36.19695663260334,0,7,198,16,0,1,0,0
